epoch,step,train_loss,val_accuracy,val_boundary_iou,val_hausdorff,val_iou,val_loss
0,4,0.49244046211242676,,,,,
0,9,0.5844941139221191,,,,,
0,14,0.28312748670578003,,,,,
0,19,0.5151536464691162,,,,,
0,24,0.4326251149177551,,,,,
0,29,0.5018779039382935,,,,,
0,34,0.5216364860534668,,,,,
0,39,0.26191824674606323,,,,,
0,44,0.30475085973739624,,,,,
0,49,0.5240763425827026,,,,,
0,54,0.2587377727031708,,,,,
0,59,0.22519804537296295,,,,,
0,64,0.22524401545524597,,,,,
0,69,0.32356974482536316,,,,,
0,74,0.33981817960739136,,,,,
0,79,0.4400237202644348,,,,,
0,84,0.23887434601783752,,,,,
0,89,0.14771342277526855,,,,,
0,94,0.4676095247268677,,,,,
0,99,0.18085579574108124,,,,,
0,104,0.40363410115242004,,,,,
0,109,0.2166423499584198,,,,,
0,114,0.1547795832157135,,,,,
0,119,0.21315167844295502,,,,,
0,124,0.21086254715919495,,,,,
0,129,0.23350770771503448,,,,,
0,134,0.2531701624393463,,,,,
0,139,0.32405439019203186,,,,,
0,144,0.3926890790462494,,,,,
0,149,0.10284888744354248,,,,,
0,154,0.1511991322040558,,,,,
0,159,0.2773745656013489,,,,,
0,164,0.1502668559551239,,,,,
0,169,0.28303778171539307,,,,,
0,174,0.10701009631156921,,,,,
0,179,0.2741771340370178,,,,,
0,184,0.15639853477478027,,,,,
0,189,0.26306626200675964,,,,,
0,194,0.3033190071582794,,,,,
0,199,0.15264350175857544,,,,,
0,204,0.20369313657283783,,,,,
0,209,0.17988801002502441,,,,,
0,214,0.24078410863876343,,,,,
0,219,0.07187198102474213,,,,,
0,224,0.13082291185855865,,,,,
0,229,0.05685961991548538,,,,,
0,234,0.3519397974014282,,,,,
0,239,0.15615114569664001,,,,,
0,244,0.06592518091201782,,,,,
0,249,0.0906950831413269,,,,,
0,254,0.2080262005329132,,,,,
0,259,0.25809597969055176,,,,,
0,264,0.14348933100700378,,,,,
0,269,0.08204687386751175,,,,,
0,274,0.26387667655944824,,,,,
0,279,0.26272252202033997,,,,,
0,284,0.09258218109607697,,,,,
0,289,0.08555006980895996,,,,,
0,294,0.06599636375904083,,,,,
0,299,0.1832887828350067,,,,,
